英雄,关键词,胜率,图片链接,本月使用人数,本月使用人数排名,热门物品,技能,天赋
噬魂鬼,life_stealer,50.1894,http://cdn.max-c.com/app/dota2/life_stealer@3x.png,2426581,35,"['相位鞋', '迈达斯之手', '辉耀', '黯灭', '强袭胸甲', '散夜对剑', '深渊之刃', '莫尔迪基安的臂章', '碎颅锤']","['[狂暴 ] 进入狂暴状态，对技能免疫，获得100%魔法抗性并提升攻击速度。  驱散类型：弱驱散  tips: 施放后，许多正面和负面状态都会被移除。 ', '[盛宴 ] 噬魂鬼每次攻击时还会根据目标最大生命值造成额外伤害，同时自身回复等量的生命。  tips: 无法作用于肉山。 无视技能免疫。 回复量与造成伤害相互独立。 与其他吸血类效果完全叠加。 ', '[撕裂伤口 ] 噬魂鬼撕裂一个敌方单位，减缓受害者的移动速度，并使所有友军在攻击该单位时根据造成的伤害回复一定比例的生命。所有伤害都有回复效果，包括技能的伤害。受害者在持续时间内逐渐恢复移动速度。  tips: 撕裂伤口的减速有8个独立的阶段：70%/70%/60%/50%/30%/10%/10%/10%，每过一秒就会进入下个阶段，减速效果不断降低。 与其他吸血类效果完全叠加。 ', '[吸收 ] 噬魂鬼吞下友方目标，使其藏于自己的体内。被吸收的单位将享受噬魂鬼的回复效果。被吸收的英雄离开噬魂鬼时会突然现身，对周围敌人造成伤害。  驱散类型：强驱散 ', '[感染 ] 噬魂鬼进入目标单位的身体，无法被察觉。接着可以从宿主体内现身，对周围所有敌方单位造成伤害。如果被感染单位是小兵或中立生物，噬魂鬼可以控制其进行移动和攻击，而现身时会将其吞噬，获得目标当前生命值同等的生命回复。无法对敌方英雄生效。  驱散类型：弱驱散  tips: 如果受感染的目标在噬魂鬼吞噬之前死亡，噬魂鬼将不能回复生命。 噬魂鬼在感染一个单位期间能够从周围死亡的单位身上获得经验。 受控制的单位与噬魂鬼的移动速度相同。 2级和3级感染可以对远古生物使用。 ', '[控制 ] 噬魂鬼掌控了宿主身体里的神经系统，使他可以在体内下达移动和攻击的指令。受控制的单位与噬魂鬼的移动速度相同。不可对英雄使用。 ', '[吞噬 ] 噬魂鬼从宿主身体内部吃掉宿主，同时突然现身。 ', '[喷吐 ] 吐出吸收的英雄，对周围敌人造成伤害。 ']","['天赋1：', '+20 攻击速度', '+200 生命', '天赋2：', '+25 移动速度', '+30 攻击力', '天赋3：', '+50% 撕裂伤口吸血', '20% 闪避', '天赋4：', '+2秒 狂暴持续时间', '+1% 盛宴伤害/吸血']"
黑暗贤者,dark_seer,50.2067,http://cdn.max-c.com/app/dota2/dark_seer@3x.png,556908,108,"['灵魂之戒', '卫士胫甲', '洞察烟斗', '圆盾', '闪烁匕首', '奥术鞋', '赤红甲', '魔杖', '希瓦的守护']","['[真空 ] 黑暗贤者在目标区域制造一个真空环境，将周围的敌方单位吸入，具有打断效果并造成伤害。  tips: 此技能可以打断持续施法。 牵引过程为0.5秒，伤害在牵引后产生。 不能牵引无敌单位。 真空中央附近的树木将会被摧毁。 ', '[离子外壳 ] 将目标用一面尖刺之盾包围起来，对周围的敌人造成伤害。  tips: 每0.1秒造成一次若干伤害。 离子外壳对其作用单位没有伤害。 如果对已经套上离子外壳的单位再次施放，新的离子外壳会取代旧的。 ', '[奔腾 ] 为一个友方目标注入能量，使其在短时间内移动速度爆发，并移除碰撞体积。允许单位突破移动速度上限，并且无法被减速。  tips: 奔腾的单位不受减速影响，除非奔腾效果消失。 ', '[复制之墙 ] 制造一堵扭曲的光墙，对穿过的敌方英雄造成减速，并复制一个其自身的幻象，幻象由黑暗贤者控制，持续到光墙消失，或者被敌人消灭。  可用神杖升级。  tips: 幻象不会产生幻象。 创造1300码长的光墙，光墙垂直于黑暗贤者和目标点的连线。 ']","['天赋1：', '+90 攻击力', '12% 闪避', '天赋2：', '+75 真空范围', '+12 生命恢复', '天赋3：', '+80 离子外壳伤害', '+10 护甲', '天赋4：', '400 范围型奔腾', '平行光墙']"
克林克兹,clinkz,53.5628,http://cdn.max-c.com/app/dota2/clinkz@3x.png,1660256,56,"['动力鞋', '怨灵系带', '阿哈利姆神杖', '黯灭', '紫怨', '魔龙枪', '净魂之刃', '血棘', '黑皇杖']","['[扫射 ] 克林克兹以密集的火力攻击。在短时间内极大提高攻击速度，并且克林克兹可以自动躲避攻击和技能弹道。  tips: 可以躲避技能或远程攻击。 ', '[灼热之箭 ] 让克林克兹的箭矢带有火焰，造成更多伤害。  tips: 灼热之箭能对建筑造成伤害。 伤害直接作为物理伤害加到克林克兹的攻击伤害中。 ', '[骨隐步 ] 使克林克兹能在隐形状态下移动，攻击或使用技能时现形。  可用神杖升级。  tips: 开启后不会打断大多数持续施法类技能和物品。 渐隐时间为0.6秒。 ', '[燃烧之军 ] 召唤一队烈焰骷髅弓手。骷髅弓手不能移动，需要2次英雄攻击才会被击杀。骷髅弓手使用当前灼热之箭技能。基础攻击力为英雄基础攻击力的80 100 120%。攻击距离与英雄相同。 ']","['天赋1：', '+10 力量', '+8 敏捷', '天赋2：', '+15 灼热之箭伤害', '-30秒 燃烧之军冷却', '天赋3：', '+16 生命恢复', '+125 攻击距离', '天赋4：', '灼热之箭齐发', '+4秒 扫射持续时间']"
全能骑士,omniknight,53.0616,http://cdn.max-c.com/app/dota2/omniknight@3x.png,947378,87,"['灵魂之戒', '魔杖', '奥术鞋', '卫士胫甲', '圆盾', '相位鞋', '以太透镜', '洞察烟斗', '阿哈利姆神杖']","['[洗礼 ] 立即治疗一个友方单位，并对周围的敌军造成伤害。 ', '[天国恩赐 ] 创造出一个神圣屏障环绕友军，提升目标的状态抗性，力量和生命恢复。  驱散类型：强驱散  tips: 驱逐的效果与其他技能免疫技能和物品相同，而且不能被净化。 ', '[退化光环 ] 极大程度的减缓附近敌人的移动速度和攻击速度。  tips: 不会作用于技能免疫单位。 ', '[守护天使 ] 全能骑士召唤出守护天使，使附近的友方单位对物理伤害免疫。  可用神杖升级。  tips: 效果无视技能免疫。 可以被驱散。 ']","['天赋1：', '+75 洗礼范围', '+90 金钱/分', '天赋2：', '+90 攻击力', '+35% 经验获取', '天赋3：', '+5 魔法恢复', '-12% 退化光环', '天赋4：', '-8秒 天国恩赐冷却', '+200 洗礼伤害/治疗']"
魅惑魔女,enchantress,50.5104,http://cdn.max-c.com/app/dota2/enchantress@3x.png,1109122,80,"['飓风长戟', '动力鞋', '阿哈利姆神杖', '相位鞋', '魔杖', '魔龙枪', '空灵挂件', '迈达斯之手', '枯萎之石']","['[不可侵犯 ] 魅惑魔女让她的敌人神魂颠倒，受到他们攻击时会降低其攻击速度。  tips: 所有直接攻击魅惑魔女的敌方单位都会被减速。 减速效果在攻击单位产生攻击动作时出现，而不是伤害生效时。 ', '[魅惑 ] 魅惑魔女诱惑一个敌人。如果目标是英雄，其移动速度将会被减缓。如果目标是普通单位，其将会被魅惑魔女控制。如果是对已被控制的普通单位使用，魅惑的持续时间将会被刷新。  驱散类型：弱驱散  tips: 可以转化幻象。 ', '[自然之助 ] 召唤一群小精灵治疗魅惑魔女以及身边的友方单位，持续11秒。  tips: 不会选择满血单位进行治疗。 治疗效果无视技能免疫。 ', '[推进 ] 激活后每次攻击都有附魔效果，根据与目标的距离造成额外伤害。目标越远，伤害越高。  可用神杖升级。  tips: 造成伤害上限的距离是1750码。 计算与目标之间的距离在攻击弹道击中目标时。 ']","['天赋1：', '+20 移动速度', '+15% 魔法抗性', '天赋2：', '+8 自然之助小精灵', '+50 攻击力', '天赋3：', '魅惑可作用远古', '+100 不可侵犯减速', '天赋4：', '+25 自然之助治疗', '+8% 推进伤害']"
哈斯卡,huskar,49.3813,http://cdn.max-c.com/app/dota2/huskar@3x.png,1369181,65,"['护腕', '莫尔迪基安的臂章', '动力鞋', '黑皇杖', '天堂之戟', '吸血面具', '撒旦之邪力', '相位鞋', '刃甲']","['[心炎 ] 在炽烈的狂暴下将附近所有敌人击退至固定距离外，造成伤害和缴械。 ', '[沸血之矛 ] 哈斯卡将其长矛点燃，在普通攻击的同时对敌方单位造成持续伤害。多次攻击会造成持续伤害叠加。每次攻击都将牺牲哈斯卡部分生命值。持续8秒。  tips: 沸血之矛在多次施放到目标身上效果可以叠加。没有叠加上限。 哈斯卡不能使用此技能自杀。 ', '[狂战士之血 ] 哈斯卡的伤痛赐予他力量，根据他损失的生命值将获得攻击速度和生命恢复加成。生命恢复为力量的一定百分比。  tips: 只有当哈斯卡的血量低于最大生命值的10%时才能达到最大加成。 加成效果为线性增加，100%生命时没有加成，10%生命时达到最大加成。 ', '[牺牲 ] 哈斯卡利用自己的生命值来摧毁敌人的生命，跃向范围内的一个目标，以自己的生命为代价对对方造成目标生命值一定比例的伤害和减速。哈斯卡在跳跃过程中对技能免疫。  驱散类型：弱驱散  可用神杖升级。  tips: 如果哈斯卡在跳跃时受到控制技能，或目标在0.015秒内移动1400码以上，跳跃就会停止。 减速效果无视技能免疫。 牺牲无法被躲避。 ']","['天赋1：', '+15 攻击力', '+225 生命', '天赋2：', '20% 吸血', '+10 沸血之矛每秒伤害', '天赋3：', '+400 牺牲施法距离', '+20 力量', '天赋4：', '沸血之矛为纯粹伤害', '+175 攻击距离']"
暗夜魔王,night_stalker,52.6627,http://cdn.max-c.com/app/dota2/night_stalker@3x.png,840326,95,"['相位鞋', '黑皇杖', '魔杖', '魂之灵瓮', '圆盾', '碎颅锤', '炎阳纹章', '阿哈利姆神杖', '护腕']","['[虚空 ] 制造一个伤害性的虚空，对一个敌方单位造成减速及伤害。夜晚时可以造成短暂眩晕，打断持续施法，并且减速持续时间更长。白天时造成半额伤害。  可用神杖升级。 ', '[伤残恐惧 ] 暗夜魔王恐吓附近所有敌人，使他们被沉默。效果在夜晚持续更久。 ', '[暗夜猎影 ] 暗夜魔王在夜晚如鱼得水，攻击和移动都变得迅速。 ', '[黑暗飞升 ] 暗夜魔王遮住太阳，让夜晚立刻降临，使他的力量可以得到最大程度的发挥。在此期间暗夜魔王获得飞行能力和攻击力加成。拥有顺畅视野。 ']","['天赋1：', '+200 魔法', '+200 生命', '天赋2：', '15% 吸血', '+15 力量', '天赋3：', '+50 攻击力', '+40 移动速度', '天赋4：', '-40秒 黑暗飞升冷却', '+140 暗夜猎影攻击速度']"
育母蜘蛛,broodmother,49.6242,http://cdn.max-c.com/app/dota2/broodmother@3x.png,565297,107,"['灵魂之戒', '阿哈利姆神杖', '黑皇杖', '净魂之刃', '勇气勋章', '动力鞋', '紫怨', '压制之刃', '黯灭']","['[孵化蜘蛛 ] 育母蜘蛛将她的卵注入敌人体内，造成伤害。如果目标在感染期间被击杀，卵会孵化成小蜘蛛。  tips: 如果目标在受到此技能后2秒内被杀死，小蜘蛛就会孵化。 被小蜘蛛击杀的单位将孵化寄生蜘蛛，寄生蜘蛛的血量和攻击力比小蜘蛛低。 ', '[织网 ] 编织出一张蜘蛛网，育母蜘蛛在蛛网里获得无视地形移动的能力，同时提高生命恢复和移动速度。织网的能量点数每45.0秒恢复1点。织网现在可向其他蛛网触及的区域全屏释放。蛛网永久存在，不过可以手动摧毁。当其数量超过上限，最早的蛛网将会消失。  可用神杖升级。  tips: 蛛网对小蜘蛛和寄生蜘蛛也有效。 失去自由移动状态时将摧毁周围树木。 ', '[麻痹之咬 ] 育母蜘蛛用毒液削弱敌方单位，使她的攻击带有减速效果，中毒单位的攻击有一定概率落空。  tips: 攻击落空几率与闪避和上下坡丢失叠加。 ', '[极度饥渴 ] 对活物体液的强烈饥渴提高了育母蜘蛛的攻击力，并使她的攻击附带吸血效果。  tips: 与其他吸血效果完全叠加。 ']","['天赋1：', '+200 生命', '+125 孵化蜘蛛伤害', '天赋2：', '+20 敏捷', '20% 冷却时间减少', '天赋3：', '+50 攻击速度', '+30 小蜘蛛攻击力', '天赋4：', '+450 小蜘蛛生命', '+60 极度饥渴攻击力/吸血']"
赏金猎人,bounty_hunter,50.8125,http://cdn.max-c.com/app/dota2/bounty_hunter@3x.png,2801878,25,"['相位鞋', '黯灭', '魔杖', '黑皇杖', '淬毒之珠', '炎阳纹章', '弗拉迪米尔的祭品', '韧鼓', '散夜对剑']","['[投掷飞镖 ] 向一名敌方单位掷出一枚致命的飞镖，对目标造成伤害和短暂眩晕。只要作用目标周围1200范围内存在被追踪术标记的单位，飞镖就能向其弹射。  可用神杖升级。  tips: 此技能可以打断持续施法。 ', '[忍术 ] 赏金猎人准备好他的下次攻击，获得额外攻击力并窃取若干不可靠金钱。 ', '[暗影步 ] 赏金猎人进入隐身，并能够穿越其它单位，直到他攻击或使用技能。破隐一击会减缓目标的移动速度。  tips: 开启后不会打断大多数持续施法技能。 额外伤害与攻击力分开计算，并且不在忍术的计算内。 ', '[追踪术 ] 追踪一个敌方英雄，获得目标的真实视域，以及目标当前携带的金钱数额。自己在被追踪者周围可以获得移动速度提升，对其发动攻击时具有致命一击效果。如果目标在被追踪期间死亡，赏金猎人和附近友方英雄都将获得一笔赏金。施放追踪术不会脱离隐身。  tips: 只要目标在追踪术期间以任何方式死亡，赏金猎人都能获得额外黄金。 追踪术效果仅对友方单位可见。 目标死亡时从追踪术获得速度加成的队友将获得额外金钱。 额外金钱为可靠金钱。 ']","['天赋1：', '+25% 经验获取', '+20 移动速度', '天赋2：', '+350 生命', '+50 攻击速度', '天赋3：', '+90 忍术窃取金钱', '+125 投掷飞镖伤害', '天赋4：', '+300 追踪术金钱', '50% 闪避']"
编织者,weaver,48.6408,http://cdn.max-c.com/app/dota2/weaver@3x.png,1519847,59,"['动力鞋', '怨灵系带', '林肯法球', '黯灭', '净魂之刃', '魔杖', '漩涡', '金箍棒', '黑皇杖']","['[虫群 ] 编织者放出12只编织者幼虫，每只幼虫都会紧紧缠住它遇到的敌人，攻击敌人并削弱他们的护甲，直到幼虫被杀死。  tips: 甲虫抓住目标后将一直留在目标身上，除非甲虫被击杀或持续时间结束。 甲虫免疫技能，需要英雄的4次伤害或其他单位的8次伤害才能被击杀。 甲虫提供321/321的白昼/夜晚视野，除非目标进入隐身状态。 ', '[缩地 ] 编织者进入隐身，移动速度达到极限，并且能穿行肉体，在穿过敌方单位时还将造成伤害。  tips: 每次施放的技能只能对相同单位造成一次伤害。 ', '[连击 ] 允许编织者立刻发动两次攻击。  tips: 第二次攻击将在编织者第一次攻击的0.25秒后发出，并且没有距离限制。 ', '[时光倒流 ] 编织者回到五秒前的时间点，获得当时的生命值和魔法值。不影响冷却时间、金钱和经验。  可用神杖升级。  驱散类型：强驱散  tips: 能够移除编织者身上大部分的负面状态。 时光倒流可以躲避攻击和技能弹道。 ']","['天赋1：', '+35% 经验获取', '+75 缩地伤害', '天赋2：', '+14 力量', '+20 法力损毁', '天赋3：', '+2 虫群可被攻击次数', '+0.5 虫群削弱护甲', '天赋4：', '+1 连击', '+200 缩地移动速度']"
